case_number,source,prompt,evaluation_seed
364,coco-30k,a brown and white kitchen with a silver refrigerator,7469
365,coco-30k,A airplane banking to the right as it ascends into the sky,63501
366,coco-30k,A calico cat drinking water from a running tap in a bathroom.,71120
367,coco-30k,A kitchen with an island and window over the sink.,2112
368,coco-30k,A man talking on a cell phone walking an orange bike across a street.,21961
369,coco-30k,a bathroom with a toilet and a bath tub,69806
370,coco-30k,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",80312
371,coco-30k,A mounted police officer riding down a city street past parked cars.,66752
372,coco-30k,A bathroom containing a toilet and a sink.,81133
373,coco-30k,A motorcycle with a red seat is on top of a stand. ,28927
374,coco-30k,A person holds a flip phone displaying the screen.,97884
375,coco-30k,A couple flying a kite at dusk on the seaside.,71975
376,coco-30k,A street view with a plane flying ahead.,78653
377,coco-30k,A group of fighter jets sitting on an airport tarmac.,57308
378,coco-30k,A hood lifted on a Chevrolet vehicle with a teddy bear on the side.,81849
379,coco-30k,A restroom stall with a white toilet and a toilet paper dispenser.,44940
380,coco-30k,A group of sheep being herded by a black dog.,64205
381,coco-30k,A room filled with bathroom sinks and bath tubs.,32974
382,coco-30k,a girl sitting at a kitchen table in a home,50376
383,coco-30k,A  lawn sitting on a snowy sidewalk by a hydrant.,97276
384,coco-30k,some white and blue porcelain designer toilet bowls,21258
385,coco-30k,A bathroom with all black fixtures in it.,41285
386,coco-30k,A small room with a heater and a desk filled with clutter.,54682
387,coco-30k,a toilet a toilet paper roll and a newspaper,54505
388,coco-30k,a brown horse is walking in between two cars,85742
389,coco-30k,A man in hipster clothes straddling a bicycle on the sidewalk.,80269
390,coco-30k,A modified motorcycle parked with other motorcycles on the pavement.,69725
391,coco-30k,A small bathroom with focus on the shower curtain.,55642
392,coco-30k,An older woman sits in a sweater at the beach.,1308
393,coco-30k,A man is sitting on a bench reading a book.,38224
394,coco-30k,A beige tiled bathroom with white fixtures and a mirror.,1350
395,coco-30k,A pile of feces sits on the back of a public restroom toilet.,89011
396,coco-30k,A plane parked next to a truck next to a house.,9645
397,coco-30k,A street at night is lit up by streetlights.,89455
398,coco-30k,a man is reading a book in a car with a small dog,54622
399,coco-30k,A motorcycle parked next to a bunch more with a plastic sign in front of it.,57917
400,coco-30k,Three birthday candles stand lit on a cake.,77092
401,coco-30k,A motorcycle is parked on a dirt road in a forest.,46098
402,coco-30k,An older floor light sits deserted in an abandoned hospital.,30039
403,coco-30k,A bowl of peeled oranges sitting on a white bowl on a kitchen counter.,96145
404,coco-30k,Racers riding four wheelers while a crowd watches.,42879
405,coco-30k,A combination of black and white sheep grazing in a meadow,76418
406,coco-30k,A blurry motion picture of a person doing a wheelie on a motorcycle.,68131
407,coco-30k,Wild animals grazing near a lagoon surrounded by trees.,30885
408,coco-30k,A person on a motor bike doing a wheelie jump,51053
409,coco-30k,A wild animal drinks water from the toilet bowl.,79287
410,coco-30k,A man in a wetsuit is holding his surfboard on the pier. ,88328
411,coco-30k,A massive wooden ship beached on snow covered ground.,18637
412,coco-30k,A bus driving down a street in a small city.,64718
413,coco-30k,The Space Shuttle is being transported by a NASA jumbo jet.,59073
414,coco-30k,A large number of people riding motorcycles down the road.,7074
415,coco-30k,A group of people observing two planes at an air show. ,6908
416,coco-30k,An older picture of a large kitchen with white appliances.,19558
417,coco-30k,A young boy stands next to a row of parked motorcycles.,46182
418,coco-30k,A gray cat standing on top of a black car.,4057
419,coco-30k,A man in a tropical print shirt with glasses and long hair is eating a banana.,16337
420,coco-30k,A man sitting on a motorcycle posing in front of a bay. ,57147
421,coco-30k,A man sitting on his skateboard in a field.,2967
422,coco-30k,Separate men sitting on park benches playing on phone and reading.,66496
423,coco-30k,A clean white toilet in a stall with a chrome toilet brush.,72356
424,coco-30k,A public bathroom sink and hand drying area.,25988
425,coco-30k,a group of men staring at a cellphone image,57660
426,coco-30k,A kitchen with a granite counter top and faucet.,30981
427,coco-30k,There is a urinal and trash can inside a small room. ,11214
428,coco-30k,An old toilet is transformed into a lawn ornament by adding soil and plants.,86952
429,coco-30k,Mopeds and bicycles parked next to parking meters.,8526
430,coco-30k,A new and stylish bathroom with a walk in shower is shown.,43032
431,coco-30k,An airplane just landed on the runway ,75710
432,coco-30k,A fork rests on a plate next to a piece of cake.,85346
433,coco-30k,A person dressed as a giraffe carrying a bullhorn.,91607
434,coco-30k,A motorcyclist riding down the street with a dog in a basket.,30690
435,coco-30k,A custom motorcycle sits in a car show,52746
436,coco-30k,A bicycle is on the shelf in a display,60380
437,coco-30k,A stove with a frying pan and a teapot on it.,65036
438,coco-30k,A country charm type of kitchen is equipped with greenery and nick nacks.,65831
439,coco-30k,Metallic looking container sitting in front of a brick wall. ,18441
440,coco-30k,Plane on the tar mat of an airport.,25055
441,coco-30k,Artistic toilet piece sitting in the center of a museum gallery. ,9451
442,coco-30k,A stainless shiny serrated knife sits in front of a sliced loaf.,52963
443,coco-30k,A group of motorcyclists driving down the road. ,17557
444,coco-30k,A bathroom with a toilet and a couple towels.,98757
445,coco-30k,A person sits next to their bike while birds walk nearby.,36528
446,coco-30k,A cat sitting on a desk next to a window.,27925
447,coco-30k,Two shake boarders playing on the street with one individual sitting under a tree.,99303
448,coco-30k,A white and gold fancy toilet and stainless trash can.,50961
449,coco-30k,A man bending down next to a bicycle.,20959
450,coco-30k,A cat walking on the top of an open door.,54350
451,coco-30k,a man in a uniform checking out the wreckage of a bus crash,15155
452,coco-30k,A bicyclist is riding across the street next to someone on a motorcycle. ,3166
453,coco-30k,A Qatar airlines plane on an airport runway. ,33781
454,coco-30k,Hospital display of different bed setups and a nurses uniform. ,28743
455,coco-30k,An empty road with buildings on each side.,29140
456,coco-30k,A group of people riding on the back of a tour bus,27091
457,coco-30k,A bathroom with an enclosed shower door next to a toilet.,78674
